split,reader,ari,exact_partition,pair_disagreement,k_inferred,k_error,k_absolute_error,sub3_member_fraction,vi,vi_normalized,split_entropy,merge_entropy,split_normalized,merge_normalized
iid,pairs_structure,0.9601275293564403,0.84114583333333315,0.017627715706281775,2.5820312499999982,0.093749999999999986,0.095052083333333315,0.0071296642108750197,0.066828414251840093,0.024096895356152226,0.040581461082405595,0.02624695316943448,0.014607662826962464,0.009489232529189753
iid,local_compatibility,0.96065504724481809,0.84505208333333326,0.017471524567611446,2.5683593749999996,0.080078125,0.081814236111111119,0.0060109205173101699,0.065734122748272811,0.023687418853757317,0.038771098130777101,0.026963024617495737,0.013926601942982808,0.0097608169107745064
iid,shared_source,0.96176548576757381,0.85134548611111094,0.016941750250944475,2.5705295138888884,0.082248263888888853,0.083116319444444406,0.0062612486772957165,0.0642107406514726,0.023154010682072648,0.038464851074796427,0.025745889576676215,0.013852668592962934,0.0093013420891097046
iid,decoupled_source,0.96057411148478633,0.84331597222222199,0.017481019726007081,2.577039930555554,0.088758680555555525,0.090060763888888853,0.0066025596313449755,0.066015753141065586,0.02382817522995825,0.039846242421630998,0.026169510719434602,0.014358820926026786,0.0094693543039314539
iid,fixed_pairs,0.96150169131269014,0.84440104166666685,0.016782581815400304,2.6139322916666674,0.12565104166666663,0.12565104166666663,0.0097370675418216885,0.066959726492963653,0.024183231315937113,0.043693242112324684,0.023266484380638958,0.015807487595907364,0.0083757437200297422
iid,fixed_shared,0.96136488853629787,0.83919270833333359,0.016686347830245737,2.6445312500000009,0.15625000000000003,0.15625000000000003,0.012229077880743068,0.067820207637996829,0.02447988830010973,0.046674190053622888,0.021146017584373934,0.016875048278543275,0.0076048400215664447
iid,historical,0.95984302928437559,0.85286458333333326,0.018271400376316499,2.5149739583333326,0.026692708333333339,0.037109375,0.0034628628803418373,0.064934478847453056,0.023416117526631169,0.032650816826434739,0.032283662021018331,0.011768487916517641,0.011647629610113527
ood_beta,pairs_structure,0.69512047432132473,0.11480034722222231,0.13132229684784422,3.9702690972222214,1.4468315972222221,1.4737413194444446,0.1217658766131807,0.45335124278055366,0.16760910011178454,0.3864564566973841,0.066894786083169386,0.14248444000825292,0.025124660103531628
ood_beta,local_compatibility,0.73745698456327369,0.21961805555555594,0.11392481198460891,3.6260850694444495,1.1026475694444455,1.1378038194444451,0.093059707640578776,0.3898331687832422,0.14409705518704594,0.31869789814008104,0.071135270643161372,0.11742230969111121,0.026674745495934762
ood_beta,shared_source,0.7419594015160651,0.20920138888888926,0.11136499603298682,3.6994357638888897,1.1759982638888891,1.1968315972222225,0.099558622391444349,0.38660879081867927,0.14283654596586243,0.32496410464546771,0.061644686173212462,0.11980547064886457,0.023031075316997923
ood_beta,decoupled_source,0.70079263190574392,0.12847222222222232,0.12852910236544773,3.933159722222225,1.4097222222222208,1.4340277777777759,0.11776312636032729,0.44489851574791633,0.16433425928356107,0.37793789142008632,0.066960624327830537,0.13915570464504828,0.025178554638512516
ood_beta,fixed_pairs,0.72075444088555551,0.14388020833333337,0.11999543617394447,4.0058593749999973,1.4824218750000011,1.4824218750000011,0.14640648844100418,0.42429745523120144,0.15844678687524141,0.37552787100644552,0.048769584224756059,0.14051078300316122,0.017936003872080233
ood_beta,fixed_shared,0.7141621948455591,0.13476562500000008,0.12250468448170643,4.1126302083333286,1.589192708333335,1.589192708333335,0.15893720149731147,0.43445297272663846,0.16226968635598404,0.39077532423086314,0.043677648495775392,0.14623682998909474,0.016032856366889173
ood_beta,historical,0.79502731255300019,0.29817708333333315,0.089656338654787296,3.3339843749999978,0.81054687499999933,0.81054687499999933,0.086022116943827068,0.32076921928731794,0.11964654554010193,0.2498768042040703,0.070892415083247964,0.093746801597619431,0.025899743942482435
ood_polyphony,pairs_structure,0.90101030914327784,0.4264322916666668,0.034267425442641219,4.4331597222222232,0.4331597222222226,0.4565972222222226,0.025288990345811235,0.2041589203486118,0.064879098439886124,0.12287775577091511,0.081281164577696782,0.038904777868688505,0.025974320571197574
ood_polyphony,local_compatibility,0.90352950277640354,0.44270833333333343,0.033509393836503976,4.3854166666666652,0.3854166666666668,0.41536458333333376,0.022635092565279073,0.19909337842027558,0.063219818603189301,0.11782090088012485,0.081272477540150795,0.037261197010594105,0.025958621592595182
ood_polyphony,shared_source,0.90391628846822014,0.44856770833333337,0.033264947099497219,4.4016927083333339,0.40169270833333365,0.42252604166666707,0.023694774746693448,0.19874356372715174,0.063136617723280331,0.11878675850686624,0.079956805220285462,0.037603783286135402,0.025532834437144911
ood_polyphony,decoupled_source,0.90149180805956985,0.43033854166666696,0.034130099491733047,4.4153645833333348,0.41536458333333348,0.4366319444444447,0.024522390352944141,0.20323390385629936,0.064578175780918179,0.12157529504354034,0.081658608812758909,0.038488237420146995,0.026089938360771153
ood_polyphony,fixed_pairs,0.89646187092626028,0.40950520833333337,0.036166004238594014,4.4055989583333313,0.40559895833333343,0.46028645833333354,0.026302970779093264,0.21111884576360418,0.067165525978804805,0.12217710793376536,0.088941737829838566,0.038723398939177832,0.028442127039626917
ood_polyphony,fixed_shared,0.89701549181358053,0.4029947916666668,0.035777827270912936,4.4798177083333348,0.47981770833333326,0.53059895833333326,0.031006007548704754,0.21072523827677958,0.067036391209162813,0.1265619439697071,0.084163294307072256,0.04012831576090696,0.026908075448255832
ood_polyphony,historical,0.85370693892520488,0.33398437499999994,0.056035304188597347,3.8033854166666705,-0.19661458333333318,0.33723958333333354,0.0075647706284100273,0.25316567275656737,0.080289242965264782,0.086282942766374146,0.1668827299901931,0.027422027932799194,0.05286721503246556
deformed_family,pairs_structure,0.74322040961728164,0.2916666666666668,0.1134686114534452,3.3628472222222179,0.86284722222222232,0.86935763888888906,0.064955131287748019,0.40178289752282154,0.14950496475628708,0.29741892329379238,0.10436397422902932,0.11075229611439437,0.038752668641892599
deformed_family,local_compatibility,0.74426801692627009,0.29079861111111127,0.11343722386330921,3.3101128472222237,0.81011284722222199,0.81966145833333315,0.061572197898444238,0.39793879018903805,0.14802794059181085,0.29010038340103517,0.10783840678800304,0.10795907487476827,0.04006886571704265
deformed_family,shared_source,0.73757735163610116,0.26866319444444453,0.11593105340956959,3.4151475694444446,0.91514756944444431,0.92078993055555547,0.071048608131291671,0.40953503160806193,0.15248550863312027,0.30734125170184323,0.10219377990621865,0.1145390133057753,0.037946495327345169
deformed_family,decoupled_source,0.74236615798214989,0.28038194444444436,0.11389448003274169,3.3654513888888862,0.86545138888888917,0.8715277777777779,0.064835666772588008,0.40236379474772571,0.14971020639842908,0.29809066335744328,0.10427313139028219,0.1109263948984973,0.038783811499931667
deformed_family,fixed_pairs,0.73632588338178839,0.28450520833333348,0.11590245182840375,3.527343749999996,1.0273437499999991,1.0273437499999991,0.088305785113622692,0.41718121076183984,0.15582524237236245,0.32324848158877195,0.09393272917306783,0.12123259070660412,0.034592651665758416
deformed_family,fixed_shared,0.7307392275275959,0.26692708333333343,0.11788939271198418,3.6653645833333313,1.1653645833333333,1.1653645833333333,0.10562873721068521,0.42677121505543558,0.15966329608091046,0.3399307993068002,0.086840415748635214,0.12767404801254453,0.031989248068365866
deformed_family,historical,0.75127307982676461,0.32682291666666663,0.11107668472781518,3.192708333333333,0.6927083333333337,0.6966145833333337,0.058954881793331887,0.3893215433538752,0.14527522684427005,0.27538144459897007,0.11394009875490493,0.10344816749205712,0.041827059352212967
