split,scene_id,family,status,N,q_tie_count,fitted_candidates,planted_in_pool,planted_in_neighbors,true_k,best_k,best_branch,best_ari,best_LB,best_UB,best_rms_cents,second_minus_best,planted_LB,planted_UB,rival_status,rival_delta_UB,margin_LB,margin_UB,old_ari_decoupled_source,old_ari_fixed_pairs,old_ari_fixed_shared,old_ari_historical,old_ari_local_compatibility,old_ari_pairs_structure,old_ari_shared_source
iid,507,base,COMPLETE,20,0,65,1,0,3,3,base-low,1.0,5.645688883295129,5.645688883295534,1.5027559859531967,199.14710083092433,5.645688883295129,5.645688883295534,PLANTED_BETTER_ON_GRID,199.14710083092433,199.14710083092444,199.14710083092476,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,507,extended,COMPLETE,20,0,65,1,0,3,3,base-low,1.0,5.645688883295129,5.645688883295534,1.5027559859531967,199.14710083092433,5.645688883295129,5.645688883295534,PLANTED_BETTER_ON_GRID,199.14710083092433,199.14710083092444,199.14710083092476,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ood_beta,6,base,COMPLETE,18,0,66,1,0,3,3,base-high,1.0,5.209148866760447,5.20914886676153,1.5215706602442904,88.53402318184087,5.209148866760447,5.20914886676153,PLANTED_BETTER_ON_GRID,88.53402318184087,88.53402318184133,88.53402318184195,0.5135478008993809,0.5716336040105597,0.5716336040105597,0.5735354595000385,0.6157235431760969,0.5035830404587914,0.6084147978786876
ood_beta,6,extended,COMPLETE,18,0,66,1,0,3,3,base-high,1.0,5.209148866760447,5.20914886676153,1.5215706602442904,88.53402318184087,5.209148866760447,5.20914886676153,PLANTED_BETTER_ON_GRID,88.53402318184087,88.53402318184133,88.53402318184195,0.5135478008993809,0.5716336040105597,0.5716336040105597,0.5735354595000385,0.6157235431760969,0.5035830404587914,0.6084147978786876
ood_beta,9,base,COMPLETE,14,0,57,0,0,3,2,base-high,0.28063241106719367,14322.63252695583,14322.632526955766,90.46746069153659,246.3725123774493,2.999428852485668,2.9994288524847477,PLANTED_BETTER_ON_GRID,14319.63309810328,14319.633098103344,14319.63309810328,0.3563428303403763,0.32211695810428354,0.3813705760020085,0.3020307952607115,0.37000223302884644,0.3563428303403763,0.3563428303403763
ood_beta,9,extended,COMPLETE,14,0,57,0,0,3,2,base-high,0.28063241106719367,14322.63252695583,14322.632526955766,90.46746069153659,246.3725123774493,2.999428852485668,2.9994288524847477,PLANTED_BETTER_ON_GRID,14319.63309810328,14319.633098103344,14319.63309810328,0.3563428303403763,0.32211695810428354,0.3813705760020085,0.3020307952607115,0.37000223302884644,0.3563428303403763,0.3563428303403763
ood_beta,13,base,COMPLETE,12,0,48,1,0,2,2,base-high,1.0,1.6750876698823294,1.6750876698825188,1.0567521531820803,185.7373417051784,1.6750876698823294,1.6750876698825188,PLANTED_BETTER_ON_GRID,185.7373417051784,185.73734170518972,185.7373417051786,0.6899833461097107,0.6690162969649501,0.6690162969649501,0.8967136150234742,0.724412141101886,0.6690162969649501,0.7109503952544711
ood_beta,13,extended,COMPLETE,12,0,48,1,0,2,2,base-high,1.0,1.6750876698823294,1.6750876698825188,1.0567521531820803,185.7373417051784,1.6750876698823294,1.6750876698825188,PLANTED_BETTER_ON_GRID,185.7373417051784,185.73734170518972,185.7373417051786,0.6899833461097107,0.6690162969649501,0.6690162969649501,0.8967136150234742,0.724412141101886,0.6690162969649501,0.7109503952544711
ood_beta,19,base,COMPLETE,16,0,66,0,1,3,3,base-high,1.0,6.135041535106267,6.135041535106344,1.7514339175524702,163.674785824653,6.135041535106267,6.135041535106344,PLANTED_BETTER_ON_GRID,163.674785824653,163.67478582465964,163.67478582465307,0.492957291669374,0.4856396668037218,0.4856396668037218,0.5289549141671384,0.525496817548035,0.49617572219031914,0.5600803960084445
ood_beta,19,extended,COMPLETE,16,0,66,0,1,3,3,base-high,1.0,6.135041535106267,6.135041535106344,1.7514339175524702,163.674785824653,6.135041535106267,6.135041535106344,PLANTED_BETTER_ON_GRID,163.674785824653,163.67478582465964,163.67478582465307,0.492957291669374,0.4856396668037218,0.4856396668037218,0.5289549141671384,0.525496817548035,0.49617572219031914,0.5600803960084445
ood_beta,49,base,COMPLETE,18,0,67,1,0,3,3,base-high,1.0,5.535949433622318,5.535949433621757,1.568573227649436,1475.0181289192683,5.535949433622318,5.535949433621757,PLANTED_BETTER_ON_GRID,1475.0181289192683,1475.0181289192772,1475.0181289192676,0.8971538883914799,0.8971538883914799,0.8971538883914799,0.8279255011836594,0.9185574938850952,0.9300748136200974,0.9136143510057886
ood_beta,49,extended,COMPLETE,18,0,67,1,0,3,3,base-high,1.0,5.535949433622318,5.535949433621757,1.568573227649436,1475.0181289192683,5.535949433622318,5.535949433621757,PLANTED_BETTER_ON_GRID,1475.0181289192683,1475.0181289192772,1475.0181289192676,0.8971538883914799,0.8971538883914799,0.8971538883914799,0.8279255011836594,0.9185574938850952,0.9300748136200974,0.9136143510057886
ood_beta,89,base,COMPLETE,13,0,66,1,0,2,2,base-high,1.0,2.011279169222963,2.0112791692230894,1.1125242729861933,0.28256560990362267,2.011279169222963,2.0112791692230894,PLANTED_BETTER_ON_GRID,0.28256560990362267,0.282565609904065,0.28256560990374924,0.8381673133907879,0.8493524199045671,0.8123711340206187,0.8523714094856379,0.8620195065978199,0.8446165614840314,0.8968253968253967
ood_beta,89,extended,COMPLETE,13,0,66,1,0,2,2,base-high,1.0,2.011279169222963,2.0112791692230894,1.1125242729861933,0.28256560990362267,2.011279169222963,2.0112791692230894,PLANTED_BETTER_ON_GRID,0.28256560990362267,0.282565609904065,0.28256560990374924,0.8381673133907879,0.8493524199045671,0.8123711340206187,0.8523714094856379,0.8620195065978199,0.8446165614840314,0.8968253968253967
ood_beta,107,base,COMPLETE,13,0,49,1,0,2,2,base-high,1.0,5.0419195019819,5.041919501982045,1.7614538579046866,113.16153432766201,5.0419195019819,5.041919501982045,PLANTED_BETTER_ON_GRID,113.16153432766201,113.16153432766203,113.16153432766217,0.804534141731694,0.6112145969738196,0.6112145969738196,0.8704318936877077,0.9195999176631299,0.7237691573569864,0.8390178682622983
ood_beta,107,extended,COMPLETE,13,0,49,1,0,2,2,base-high,1.0,5.0419195019819,5.041919501982045,1.7614538579046866,113.16153432766201,5.0419195019819,5.041919501982045,PLANTED_BETTER_ON_GRID,113.16153432766201,113.16153432766203,113.16153432766217,0.804534141731694,0.6112145969738196,0.6112145969738196,0.8704318936877077,0.9195999176631299,0.7237691573569864,0.8390178682622983
ood_beta,113,base,COMPLETE,13,0,66,1,0,2,2,base-high,1.0,3.6458794316057173,3.6458794316054854,1.4978711933131037,3.520760960313771,3.6458794316057173,3.6458794316054854,PLANTED_BETTER_ON_GRID,3.520760960313771,3.5207609603143704,3.520760960313539,1.0,0.903313049357674,0.8487337440109514,1.0,1.0,0.9825970548862115,1.0
ood_beta,113,extended,COMPLETE,13,0,66,1,0,2,2,base-high,1.0,3.6458794316057173,3.6458794316054854,1.4978711933131037,3.520760960313771,3.6458794316057173,3.6458794316054854,PLANTED_BETTER_ON_GRID,3.520760960313771,3.5207609603143704,3.520760960313539,1.0,0.903313049357674,0.8487337440109514,1.0,1.0,0.9825970548862115,1.0
ood_beta,127,base,COMPLETE,15,0,65,1,0,2,2,base-high,1.0,4.884227969006203,4.884227969006853,1.6139769463874887,91.37712303762324,4.884227969006203,4.884227969006853,PLANTED_BETTER_ON_GRID,91.37712303762324,91.37712303761907,91.37712303762389,0.7799601022880935,0.6798692034105415,0.6798692034105415,0.8576803095419796,0.7464216597038538,0.7799601022880935,0.7799601022880935
ood_beta,127,extended,COMPLETE,15,0,65,1,0,2,2,base-high,1.0,4.884227969006203,4.884227969006853,1.6139769463874887,91.37712303762324,4.884227969006203,4.884227969006853,PLANTED_BETTER_ON_GRID,91.37712303762324,91.37712303761907,91.37712303762389,0.7799601022880935,0.6798692034105415,0.6798692034105415,0.8576803095419796,0.7464216597038538,0.7799601022880935,0.7799601022880935
ood_beta,147,base,COMPLETE,16,0,65,0,1,3,3,base-high,1.0,6.225023129505219,6.225023129505217,1.7642311540023945,144.2548864966775,6.225023129505219,6.225023129505217,PLANTED_BETTER_ON_GRID,144.2548864966775,144.25488649667935,144.2548864966775,0.4577123617001444,0.4511394498277243,0.44520849835866483,0.45460187956361253,0.512229659640403,0.521726127294717,0.48174550040679925
ood_beta,147,extended,COMPLETE,16,0,65,0,1,3,3,base-high,1.0,6.225023129505219,6.225023129505217,1.7642311540023945,144.2548864966775,6.225023129505219,6.225023129505217,PLANTED_BETTER_ON_GRID,144.2548864966775,144.25488649667935,144.2548864966775,0.4577123617001444,0.4511394498277243,0.44520849835866483,0.45460187956361253,0.512229659640403,0.521726127294717,0.48174550040679925
ood_beta,167,base,COMPLETE,11,0,36,1,0,2,2,base-high,1.0,4.108593462147179,4.108593462146997,1.7286028961188442,219.66607100455326,4.108593462147179,4.108593462146997,PLANTED_BETTER_ON_GRID,219.66607100455326,219.66607100455218,219.66607100455306,0.7230380904845923,0.7189456382669079,0.7189456382669079,0.841492544952213,0.6413401526943889,0.5761925312700183,0.6291908264297544
ood_beta,167,extended,COMPLETE,11,0,36,1,0,2,2,base-high,1.0,4.108593462147179,4.108593462146997,1.7286028961188442,219.66607100455326,4.108593462147179,4.108593462146997,PLANTED_BETTER_ON_GRID,219.66607100455326,219.66607100455218,219.66607100455306,0.7230380904845923,0.7189456382669079,0.7189456382669079,0.841492544952213,0.6413401526943889,0.5761925312700183,0.6291908264297544
ood_beta,183,base,COMPLETE,17,0,65,1,0,3,3,base-high,1.0,13.145066968177135,13.14506696817491,2.487149747678347,265.13203381361535,13.145066968177135,13.14506696817491,PLANTED_BETTER_ON_GRID,265.13203381361535,265.13203381362973,265.1320338136131,0.47460821633483063,0.5513405346118804,0.5513405346118804,0.5677458187100672,0.4846574212088497,0.5470764403120764,0.4563953971491854
ood_beta,183,extended,COMPLETE,17,0,65,1,0,3,3,base-high,1.0,13.145066968177135,13.14506696817491,2.487149747678347,265.13203381361535,13.145066968177135,13.14506696817491,PLANTED_BETTER_ON_GRID,265.13203381361535,265.13203381362973,265.1320338136131,0.47460821633483063,0.5513405346118804,0.5513405346118804,0.5677458187100672,0.4846574212088497,0.5470764403120764,0.4563953971491854
ood_beta,211,base,COMPLETE,8,0,17,1,0,2,2,base-high,1.0,0.7294885104861446,0.7294885104859841,0.8541009954835335,693.3717318048473,0.7294885104861446,0.7294885104859841,PLANTED_BETTER_ON_GRID,693.3717318048473,693.3717318048427,693.3717318048472,0.7008363201911589,0.7126099706744867,0.7126099706744867,0.7878787878787878,0.6666666666666666,0.6757467144563919,0.6415770609318997
ood_beta,211,extended,COMPLETE,8,0,17,1,0,2,2,base-high,1.0,0.7294885104861446,0.7294885104859841,0.8541009954835335,693.3717318048473,0.7294885104861446,0.7294885104859841,PLANTED_BETTER_ON_GRID,693.3717318048473,693.3717318048427,693.3717318048472,0.7008363201911589,0.7126099706744867,0.7126099706744867,0.7878787878787878,0.6666666666666666,0.6757467144563919,0.6415770609318997
ood_beta,231,base,COMPLETE,15,0,67,1,0,2,2,base-high,1.0,7.203842951101318,7.203842951101253,1.960114683869459,19.998849771468258,7.203842951101318,7.203842951101253,PLANTED_BETTER_ON_GRID,19.998849771468258,19.998849771468834,19.99884977146819,0.7468543565526335,0.7731653769772343,0.7731653769772343,0.8271088293581867,0.7597078269896514,0.6280243754797437,0.7333968065650507
ood_beta,231,extended,COMPLETE,15,0,67,1,0,2,2,base-high,1.0,7.203842951101318,7.203842951101253,1.960114683869459,19.998849771468258,7.203842951101318,7.203842951101253,PLANTED_BETTER_ON_GRID,19.998849771468258,19.998849771468834,19.99884977146819,0.7468543565526335,0.7731653769772343,0.7731653769772343,0.8271088293581867,0.7597078269896514,0.6280243754797437,0.7333968065650507
